;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
2349;2350;Amanecer ;Yamil;118;Afro House;Am;2023-01-28;Amanecer;Pieces of Life;;320;18376715;;1;file://localhost/C:/E+/02-DonwloadsAll/202301_Organic/Yamil%20-%20Amanecer%20%5Bdjdownloadme.com%5D.mp3;8A
1654;1655;Hidden Eyes (Original Mix);Marino Canal, Miguel Payda;120;Melodic House & Techno;Am;2020-01-18;Balance presents Vivrant;Balance Music;www.minimalmass.net;320;18372201;0x25fde9;2;file://localhost/C:/E+/19T12/Marino%20Canal%20Miguel%20Payda%20-%20Hidden%20Eyes%20Original%20Mix%20Balance%20Music-www.groovytunes.org.mp3;8A
1959;1960;System Failure;Ubbah-;120;Melodic House & Techno;Em;2022-09-17;Unity Pt. 3;Afterlife Records;;320;16823900;0xffa500;1;file://localhost/C:/E+/01-MinusTechMelody/03-Afterlife/Ubbah-System%20Failure.mp3;9A
1479;1480;Not This Day (Original Mix);Sergio Avila;120;Melodic House & Techno;Fm;2020-04-19;Back to the Jungle;Superordinate Music;;320;16710672;;2;file://localhost/C:/E+/20T07/Sergio%20Avila%20-%20Not%20This%20Day%20(Original%20Mix).mp3;4A
2269;2270;Octopus (Dmitry Molosh Remix);Bondarev, Tali Muss;121;Progressive House;Gbm;2022-12-28;Octopus;WARPP;;320;16735378;;;file://localhost/C:/E+/02-DonwloadsAll/202212_Warpp/Bondarev%20Tali%20Muss%20-%20Octopus%20Dmitry%20Molosh%20Remix.mp3;11A
609;610;Alkahest (Binaryh Remix);Dizharmonia feat. Eleonora;93;Melodic House & Techno;Dbm;2021-09-01;Alkahest;Movement Recordings;;320;17485002;;2;file://localhost/C:/E+/21T09_SepMelody/Dizharmonia%20feat.%20Eleonora-Alkahest%20(Binaryh%20Remix).mp3;12A
706;707;Nocturne (Original Mix) ;Sebastian Sellares;122;Progressive House;Abm;2021-08-01;Dunes at Dawn;Meanwhile;Meanwhile;320;21564996;;5;file://localhost/C:/E+/20T08_Agosto/Sebastian%20Sellares%20-%20Nocturne%20(Original%20Mix)%20%5Bmeanwhile%5D.mp3;1A
547;548;Brume;ANUQRAM;122;Progressive House;Abm;2021-10-08;Face To Face;UV;UV - Epica, fin;320;17745914;0x25fde9;1;file://localhost/C:/E+/21T10_Oct_UV/ANUQRAM-Brume.mp3;1A
243;244;Karma (Original Mix);Emi Galvan-;121;Progressive House;Ebm;2022-05-13;Alfa Zeta;Sudbeat Music;;320;21433808;0xff0000;2;file://localhost/C:/E+/22T05_Mayo_Oranges/Emi%20Galvan-Karma%20(Original%20Mix).mp3;2A
1713;1714;Amazon (Original Mix);Stylo, Space Motion;122;Melodic House & Techno;Bbm;2020-01-18;Amazon Rise;Space Motion Records;;320;15608209;;3;file://localhost/C:/E+/19T10/Stylo,%20Space%20Motion%20-%20Amazon%20(Original%20Mix)%20-%204djsound.com%20(1).mp3;3A
