;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
233;234;Kalliope;John Cosani;120;Organic House / Downtempo;Am;2022-05-11;Crystal Brain;Hoomidaas;;320;17517036;0xffa500;7;file://localhost/C:/E+/22T05_Mayo_Oranges/John%20Cosani%20-%20Kalliope-www.groovytunes.org.mp3;8A
1654;1655;Hidden Eyes (Original Mix);Marino Canal, Miguel Payda;120;Melodic House & Techno;Am;2020-01-18;Balance presents Vivrant;Balance Music;www.minimalmass.net;320;18372201;0x25fde9;2;file://localhost/C:/E+/19T12/Marino%20Canal%20Miguel%20Payda%20-%20Hidden%20Eyes%20Original%20Mix%20Balance%20Music-www.groovytunes.org.mp3;8A
698;699;Lost On Origin (Imran's 4am Mix);GMJ, Matter;121;Progressive House;Am;2021-08-01;Lost on Origin (Andrea Cassino, Imran Khan Remixes);Meanwhile;Meanwhile oscura;320;18476232;0xffa500;32;file://localhost/C:/E+/20T08_Agosto/GMJ,%20Matter%20-%20Lost%20On%20Origin%20(Imran's%204am%20Mix)%20%5Bmeanwhile%5D.mp3;8A
1959;1960;System Failure;Ubbah-;120;Melodic House & Techno;Em;2022-09-17;Unity Pt. 3;Afterlife Records;;320;16823900;0xffa500;1;file://localhost/C:/E+/01-MinusTechMelody/03-Afterlife/Ubbah-System%20Failure.mp3;9A
1404;1405;White Moon (Alex O'Rion Alternative Mix);Antrim, Ezequiel Arias;120;Progressive House;Em;2020-05-01;White Moon;Or Two Strangers;;320;19547111;0xffa500;1;file://localhost/C:/E+/20T09/Antrim,%20Ezequiel%20Arias%20-%20White%20Moon%20(Alex%20O'Rion%20Alternative%20Mix)%20%5BOr%20Two%20Strangers%5D.mp3;9A
1405;1406;White Moon (Alex O'Rion Remix);Antrim, Ezequiel Arias;120;Progressive House;Em;2020-05-01;White Moon;Or Two Strangers;;320;19547101;;;file://localhost/C:/E+/20T09/Antrim,%20Ezequiel%20Arias%20-%20White%20Moon%20(Alex%20O'Rion%20Remix)%20%5BOr%20Two%20Strangers%5D.mp3;9A
2383;2384;Rip The Time (Sahab Remix);ArshiyaZi-;122;Melodic House & Techno;Bm;2023-01-05;Ethereal Techno #012;Steyoyoke;;320;14199412;;;file://localhost/C:/E+/02-DonwloadsAll/202301_Melody/ArshiyaZi-Rip%20The%20Time%20(Sahab%20Remix).mp3;10A
2069;2070;Balthazar;Soel;122;Melodic House & Techno;Bm;2022-10-14;Ghasia EP;Bedrock Records;;320;17325176;0xffa500;2;file://localhost/C:/E+/02-DonwloadsAll/202211_Bedrock/Soel-Balthazar.mp3;10A
2069;2070;Balthazar;Soel;122;Melodic House & Techno;Bm;2022-10-14;Ghasia EP;Bedrock Records;;320;17325176;0xffa500;2;file://localhost/C:/E+/02-DonwloadsAll/202211_Bedrock/Soel-Balthazar.mp3;10A
2269;2270;Octopus (Dmitry Molosh Remix);Bondarev, Tali Muss;121;Progressive House;Gbm;2022-12-28;Octopus;WARPP;;320;16735378;;;file://localhost/C:/E+/02-DonwloadsAll/202212_Warpp/Bondarev%20Tali%20Muss%20-%20Octopus%20Dmitry%20Molosh%20Remix.mp3;11A
