;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
1743;1744;Safe And Sound;Capital Cities;117;Other;Am;2020-01-06;;;Downloaded via https://datmusic.xyz;320;7806209;;3;file://localhost/C:/E+/19T6/Capital%20Cities%20-%20Safe%20And%20Sound.mp3;8A
625;626;The Last Dance;Shai T;120;Organic House;Am;2021-09-04;;;;320;19368576;;1;file://localhost/C:/E+/21T09_SepMelody/Shai%20T-The%20Last%20Dance.mp3;8A
1828;1829;7 Cherry On Top ;Sebastien Leger, Roy Rosenfeld;120;Organic House;Em;2022-04-16;Tuti EP;Lost Miracle;;1411;84967050;;6;file://localhost/C:/Users/kasas/Music/Organic%20House/Sebastien%20Leger,%20Roy%20Rosenfeld%20-%20Cherry%20On%20Top%20%20%5BLost%20Miracle%5D.aiff;9A
689;690;Dancing In The Rain (Aera Remix) (Aera Remix);Saint Is feat. Sergi Yaro;119;;Fm;2021-07-29;;;Electro;320;14775466;;3;file://localhost/C:/E+/20T08_Agosto/Saint%20Is%20feat.%20Sergi%20Yaro%20-%20Dancing%20In%20The%20Rain%20(Aera%20Remix)%20(Aera%20Remix).mp3;4A
363;364;With No Mask;Brann (AR)-;120;;Cm;2022-03-17;;;;320;;0xffa500;5;file://localhost/C:/E+/22T03_Marzo/Brann%20(AR)-With%20No%20Mask.mp3;5A
520;521;Extended Mind ( Gux Jimenez Remix ) Master;Minders;120;;Gm;2021-11-06;;;;320;23046605;;1;file://localhost/C:/E+/21T11_Nov01/Minders%20-%20Extended%20Mind%20(%20Gux%20Jimenez%20Remix%20)%20Master.mp3;6A
2223;2224;Cassio (Original Mix);;122;;Abm;2022-12-28;;;;320;11361473;;1;file://localhost/C:/E+/02-DonwloadsAll/202212_progressive/ROMM-Cassio%20(Original%20Mix).mp3;1A
1328;1329;Armageddon (Original Mix);13;120;www.electronicfresh.com;Ebm;2020-05-11;electronicfresh.com;;;320;6177429;;;file://localhost/C:/E+/20T11/13%20-%20Armageddon%20Original%20Mix.mp3;2A
185;186;ZAAP (Extended);Rafael Osmo;122;Trance/ Melodic House/ Techno;Em;2022-07-06;electronicfresh.com;;ver;320;15619306;0xffa500;3;file://localhost/C:/E+/22T07_Julio/Rafael%20Osmo%20-%20June%20Chart/Rafael%20Osmo%20-%20ZAAP%20(Extended)%20-%20www.djsoundtop.com.mp3;9A
800;801;Seagull_pn;Ivan Aliaga;121;Other;G;2021-07-14;;;;320;19341212;0xff007f;1;file://localhost/C:/E+/21T07_Julio_PN/Ivan%20Aliaga-Seagull_pn.mp3;9B
