;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
1422;1423;I Am Control;Corvad;100;Mainstage;Am;2020-04-25;We Are Friends, Vol. 9;mau5trap;;320;8990481;;1;file://localhost/C:/E+/20T08/Corvad%20-%20I%20Am%20Control.mp3;8A
1650;1651;Goldene Acht (Original Mix) [TraxCrate.com];Dominik Eulberg;120;Other;Bbm;2020-01-18;TraxCrate.com;TraxCrate.com;TraxCrate.com;320;21245880;;2;file://localhost/C:/E+/19T12/Dominik%20Eulberg%20-%20Goldene%20Acht%20(Original%20Mix)%20%5BTraxCrate.com%5D.mp3;3A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
1770;1771;With Or Without You (TEEMID Edit);U2;115;Rock;D;2020-01-21;The Joshua Tree;UMC (Universal Music Catalogue);;320;10594599;0x00ff00;4;file://localhost/C:/E+/19T5/U2%20-%20With%20Or%20Without%20You%20(TEEMID%20Edit).mp3;10B
1770;1771;With Or Without You (TEEMID Edit);U2;115;Rock;D;2020-01-21;The Joshua Tree;UMC (Universal Music Catalogue);;320;10594599;0x00ff00;4;file://localhost/C:/E+/19T5/U2%20-%20With%20Or%20Without%20You%20(TEEMID%20Edit).mp3;10B
1770;1771;With Or Without You (TEEMID Edit);U2;115;Rock;D;2020-01-21;The Joshua Tree;UMC (Universal Music Catalogue);;320;10594599;0x00ff00;4;file://localhost/C:/E+/19T5/U2%20-%20With%20Or%20Without%20You%20(TEEMID%20Edit).mp3;10B
758;759;Face to Face (Dabeat & Juan Pablo Torrez Remix);Fernando Olaya;122;Progressive House;A;2021-07-20;Ethnicolor / Face to Face;Mango Alley;;320;20291651;;1;file://localhost/C:/E+/21T07_Julio_CO/Fernando%20Olaya%20-%20Face%20to%20Face%20Dabeat%20%26%20Juan%20Pablo%20Torrez%20Remix.mp3;11B
732;733;When You Left (Original Mix);Jonnas B;120;Other;A;2021-08-18;;;;320;19963997;0xffff00;1;file://localhost/C:/E+/20T08_Agosto/Jonnas%20B%20-%20When%20You%20Left%20(Original%20Mix)%20%5BCDR%5D.mp3;11B
1892;1893;17 Buriti (Original Mix);Peve;122;Deep House;Gbm;2022-04-16;Brazilian Flavors;Akbal Music;Purchased at Beatport;320;18856280;;1;file://localhost/C:/Users/kasas/Music/Organic%20House/2022/16193247_Buriti_(Original%20Mix).mp3;11A
287;288;Hidden (Jorge Viana Remix);Nicolas Benedetti-;122;Progressive House;Gbm;2022-05-13;Hidden;Balkan Connection South America;Technera, minimaluda buena;320;20302656;0xff007f;9;file://localhost/C:/E+/22T05_Mayo_Progress/Nicolas%20Benedetti-Hidden%20(Jorge%20Viana%20Remix).mp3;11A
