;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
1701;1702;Amniotic (Original Mix);Monolink;80;Deep House;Am;2020-01-16;Amniotic (Deluxe Version);Embassy One;;320;18153348;;2;file://localhost/C:/E+/19T10/Monolink%20-%20Amniotic%20Original%20Mix-www.groovytunes.org.mp3;8A
401;402;Pacha Mama;Matter-;121;Progressive House;Em;2021-12-31;Starchild;Meanwhile Horizons;;320;21339427;0xffa500;3;file://localhost/C:/E+/21T12_Dic_Others/Matter-Pacha%20Mama.mp3;9A
2104;2105;Venus (Original Mix);Ruben Karapetyan;121;Progressive House;Fm;2022-10-09;Evening in Yerevan / Venus;Mango Alley;;320;6088490;;;file://localhost/C:/E+/02-DonwloadsAll/202210_Progressive_MangoAlley/Ruben%20Karapetyan-Venus%20(Original%20Mix).mp3;4A
1245;1246;Gauntlet (Alex O'Rion Remix);GMJ, Matter;120;Progressive House;Cm;2020-08-16;Gauntlet (incl. Alex O'Rion Remixes);Meanwhile;;320;18268573;;4;file://localhost/C:/E+/20T18/GMJ,%20Matter%20-%20Gauntlet%20(Alex%20O'Rion%20Remix)%20%5BTraxCrate.com%5D.mp3;5A
417;418;The Rise (GMJ & Matter Remix);Simos Tagias;121;Progressive House;Gm;2021-12-31;The Rise;Mango Alley;;320;19431348;;2;file://localhost/C:/E+/21T12_Dic_Others/Simos%20Tagias%20-%20The%20Rise%20GMJ%20%26%20Matter%20Remix-www.groovytunes.org.mp3;6A
907;908;Growing (Original Mix) ;Juanes Mesa;119;Progressive House;Dm;2021-06-15;Growing / Incipient;Onestar Records;;320;19483692;;3;file://localhost/C:/E+/21T06_Junio/Juanes%20Mesa%20-%20Growing%20(Original%20Mix).mp3;7A
2221;2222;Any Color You Like;Fernando Olaya;122;Progressive House;Am;2022-12-28;Seducing the Dancefloor, Vol. 11;Superordinate Music;;320;18007482;;1;file://localhost/C:/E+/02-DonwloadsAll/202212_progressive/Fernando%20Olaya-Any%20Color%20You%20Like.mp3;8A
355;356;Upgrade (Agustin Pengov Remix);"Us &amp; Eze Colombo-";122;Progressive House;C;2022-03-17;Upgrade;Droid9;;320;17705159;0xffa500;3;"file://localhost/C:/E+/22T03_Marzo/Us%20%26amp;%20Eze%20Colombo-Upgrade%20(Agustin%20Pengov%20Remix).mp3";8B
1097;1098;Navagio (2020 Rework);Alex O'Rion;120;Progressive House;Am;2020-12-18;Navagio 2020;ICONYC;;320;19637651;;1;file://localhost/C:/E+/20T24/Alex%20O'Rion%20-%20Navagio%20(2020%20Rework).mp3;8A
1404;1405;White Moon (Alex O'Rion Alternative Mix);Antrim, Ezequiel Arias;120;Progressive House;Em;2020-05-01;White Moon;Or Two Strangers;;320;19547111;0xffa500;1;file://localhost/C:/E+/20T09/Antrim,%20Ezequiel%20Arias%20-%20White%20Moon%20(Alex%20O'Rion%20Alternative%20Mix)%20%5BOr%20Two%20Strangers%5D.mp3;9A
