;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
1451;1452;Atomic Blonde (Smith & Brown Remix);Sied Van Riel;70;Trance;Am;2020-04-24;Atomic Blonde - Smith & Brown Remix;Pure Trance NEON;;320;17851906;;1;file://localhost/C:/E+/Trance_20T2/sied-van-riel-atomic-blonde-smith-brown-remix(mp3-top.info).mp3;8A
2159;2160;Temperament Of The Beat (Original Mix) ;CamelPhat, Cari Golden;121;Melodic House & Techno;Am;2022-10-27;Temperament of the Beat;Moon Harbour Recordings;8A;1411;68626362;;1;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/CamelPhat,%20Cari%20Golden%20-%20Temperament%20Of%20The%20Beat%20(Original%20Mix)%20%5BMoon%20Harbour%20Recordings%5D%20-%208A.aiff;8A
792;793;Silent Summer;Budakid;121;Progressive House;Em;2021-07-14;Silent Summer / Story Of Tokay;Lost & Found;Comercial;320;15526617;0xff007f;2;file://localhost/C:/E+/21T07_Julio_PN/Budakid%20-%20Silent%20Summer_pn.mp3;9A
383;384;Acceptance;Ruben Karapetyan;120;Progressive House;Bm;2022-02-28;Janus / Acceptance;aboriginal;;320;18622227;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
1922;1923;Ashes In The Wind (Original Mix) ;Sebastien Leger;121;Melodic House & Techno;D;2022-04-16;Secrets EP (28 Feb 2020);All Day I Dream;;1411;106642882;;;file://localhost/C:/Users/kasas/Music/Organic%20House/Sebastien%20Leger%20-%20Ashes%20In%20The%20Wind%20(Original%20Mix)%20%5BAll%20Day%20I%20Dream%5D.aiff;10B
1424;1425;Luna Brave;Donny Carr;122;Progressive House;Bm;2020-04-25;We Are Friends, Vol. 9;mau5trap;;320;20946450;;1;file://localhost/C:/E+/20T08/Donny%20Carr%20-%20Luna%20Brave.mp3;10A
498;499;In The Dark;Alain Fanegas;122;Melodic House & Techno;Cm;2021-10-16;In the Dark;KULTO;;320;15431022;;3;file://localhost/C:/E+/21T10_Oct_JOOF_Others/Alain%20Fanegas-In%20The%20Dark.mp3;5A
490;491;Zeitgeist;LADS-;120;Progressive House;Gm;2021-10-15;Vorfreude;Movement Recordings;;320;17281323;0xffa500;3;file://localhost/C:/E+/21T10_Oct_JOOF_Others/LADS-Zeitgeist.mp3;6A
384;385;Cenote (Original Mix) ;Sainte Vie;122;Melodic House & Techno;Abm;2022-02-28;Cenote;Cercle Records;;320;11759108;;;file://localhost/C:/E+/22T02_Febrero/Sainte%20Vie%20-%20Cenote%20(Original%20Mix)%20%5BTraxCrate.com%5D.mp3;1A
63;64;Give Me a Reason (Instrumental Version);Luccio;122;Progressive House;Ebm;2022-08-23;Give Me a Reason;UV;;320;16663158;;;file://localhost/C:/E+/22T08_Agosto3/Luccio-Give%20Me%20a%20Reason%20(Instrumental%20Version).mp3;2A
717;718;Small Alarms (Original Mix);Guy J;120;Progressive House;Bbm;2021-08-07;Small Alarms / Modulator / The Fall;Lost & Found;temporal;320;20957208;0xffa500;13;file://localhost/C:/E+/20T08_Agosto/Guy%20J%20-%20Small%20Alarms%20Original%20Mix-www.groovytunes.org.mp3;3A
737;738;True;Parallel Universe;122;Progressive House;Bbm;2021-08-18;Nebulosa;Or Two Strangers;;320;17899965;0xffa500;3;file://localhost/C:/E+/20T08_Agosto/Parallel%20Universe-True.mp3;3A
1011;1012;Koi Koi (Deep Mix);Alex O'Rion;123;Progressive House;Db;2021-04-23;Macarize Autumn Essentials 2015;Macarize;21_08 - 3B;320;18262150;0xff0000;6;file://localhost/C:/E+/21T04_Abril/Alex%20O%20Rion%20-%20Koi%20Koi%20(Deep%20Mix).mp3;3B
994;995;For Love feat. Lewyn (Original Mix);Haen;120;Progressive House;Ab;2021-04-11;For Love;Songspire Records;4A -;320;19602140;;;file://localhost/C:/E+/21T04_Abril/Haen%20-%20For%20Love%20feat.%20Lewyn%20(Original%20Mix).mp3;4B
295;296;Conjunction (Original Mix);ANUQRAM-;120;Progressive House;Fm;2022-05-13;Conjunction;Replug;R18;320;19611674;0xff007f;3;file://localhost/C:/E+/22T05_Mayo_Progress/ANUQRAM-Conjunction%20(Original%20Mix).mp3;4A
1554;1555;Masada (Original Mix);Marcus Meinhardt;123;Melodic House & Techno;Gbm;2020-02-12;Masada;Exploited Club;;320;20108404;;5;file://localhost/C:/E+/20T03_Melody/Marcus%20Meinhardt%20-%20Masada%20Original%20Mix.mp3;11A
