;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
647;648;Inertia;Mariner + Domingo, Chris Domingo, Mariner;121;Organic House / Downtempo;Am;2021-09-29;Inertia;Sound Avenue;;320;18468969;;;file://localhost/C:/E+/21T09_SepMelody/Mariner%20+%20Domingo,%20Chris%20Domingo,%20Mariner-Inertia.mp3;8A
704;705;Home (Original Mix);Mike Isai;120;Progressive House;Em;2021-08-01;Home / 87 North;Meanwhile;Meanwhile;320;20655929;0xff007f;13;file://localhost/C:/E+/20T08_Agosto/Mike%20Isai%20-%20Home%20(Original%20Mix)%20%5Bmeanwhile%5D.mp3;9A
800;801;Seagull_pn;Ivan Aliaga;121;Progressive House;G;2021-07-14;Delta Wing;onedotsixtwo;;320;19404477;0xff007f;1;file://localhost/C:/E+/21T07_Julio_PN/Ivan%20Aliaga-Seagull_pn.mp3;9B
1959;1960;System Failure;Ubbah-;120;Melodic House & Techno;Em;2022-09-17;Unity Pt. 3;Afterlife Records;;320;16823900;0xffa500;1;file://localhost/C:/E+/01-MinusTechMelody/03-Afterlife/Ubbah-System%20Failure.mp3;9A
2350;2351;Basma;Tebra;120;Organic House / Downtempo;Bm;2023-01-28;Basma;The Purr;;320;16084191;;;file://localhost/C:/E+/02-DonwloadsAll/202301_Organic/Tebra%20-%20Basma.mp3;10A
754;755;Lonely Space (Alex O'Rion Remix) ;Dabeat, Kamilo Sanclemente;120;Progressive House;Bm;2021-07-20;Lonely Space EP;Plaisirs Sonores Records;TraxCrate.com;320;19394173;;1;file://localhost/C:/E+/21T07_Julio_CO/Dabeat,%20Kamilo%20Sanclemente%20-%20Lonely%20Space%20(Alex%20O'Rion%20Remix).mp3;10A
881;882;Rome (Original Mix);Juan Pablo Torrez;122;Progressive House;Bm;2020-08-16;Rome;Perspectives Digital;;320;17410754;;3;file://localhost/C:/E+/20T18/Juan%20Pablo%20Torrez%20-%20Rome%20(Original%20Mix)%20%5BTraxCrate.com%5D.mp3;10A
2385;2386;Safari;Alar & Asher Swissa-;122;Progressive House;Bm;2023-01-05;Safari;Movement Recordings;;320;17575918;;1;file://localhost/C:/E+/02-DonwloadsAll/202301_Melody/Alar%20%26%20Asher%20Swissa-Safari.mp3;10A
321;322;Red Clouds;Goda Brother, Gabriel Filip-;122;Progressive House;Cm;2022-04-14;Red Clouds;Eat My Hat Music;;320;19696378;;1;file://localhost/C:/E+/22T04_Abril_Progress/Goda%20Brother,%20Gabriel%20Filip-Red%20Clouds.mp3;5A
501;502;Zouk;ZAHNA-;122;Progressive House;Cm;2021-10-16;Casino Wheels;Droid9;;320;16593339;0xff007f;4;file://localhost/C:/E+/21T10_Oct_JOOF_Others/ZAHNA-Zouk.mp3;5A
