;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
625;626;The Last Dance;Shai T;120;Organic House / Downtempo;Am;2021-09-04;The Last Dance;Lost Miracle;;320;19476870;;1;file://localhost/C:/E+/21T09_SepMelody/Shai%20T-The%20Last%20Dance.mp3;8A
1097;1098;Navagio (2020 Rework);Alex O'Rion;120;Progressive House;Am;2020-12-18;Navagio 2020;ICONYC;;320;19637651;;1;file://localhost/C:/E+/20T24/Alex%20O'Rion%20-%20Navagio%20(2020%20Rework).mp3;8A
2205;2206;Orris;Deep Finback-;120;Progressive House;Am;2022-10-27;Spring Depth ,vol.3;Lincor;;320;17393761;0xffa500;1;file://localhost/C:/E+/02-DonwloadsAll/202210_02_Melody%26P/Deep%20Finback-Orris.mp3;8A
717;718;Small Alarms (Original Mix);Guy J;120;Progressive House;Bbm;2021-08-07;Small Alarms / Modulator / The Fall;Lost & Found;temporal;320;20957208;0xffa500;13;file://localhost/C:/E+/20T08_Agosto/Guy%20J%20-%20Small%20Alarms%20Original%20Mix-www.groovytunes.org.mp3;3A
754;755;Lonely Space (Alex O'Rion Remix) ;Dabeat, Kamilo Sanclemente;120;Progressive House;Bm;2021-07-20;Lonely Space EP;Plaisirs Sonores Records;TraxCrate.com;320;19394173;;1;file://localhost/C:/E+/21T07_Julio_CO/Dabeat,%20Kamilo%20Sanclemente%20-%20Lonely%20Space%20(Alex%20O'Rion%20Remix).mp3;10A
383;384;Acceptance;Ruben Karapetyan;120;Progressive House;Bm;2022-02-28;Janus / Acceptance;aboriginal;;320;18622227;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
1922;1923;Ashes In The Wind (Original Mix) ;Sebastien Leger;121;Melodic House & Techno;D;2022-04-16;Secrets EP (28 Feb 2020);All Day I Dream;;1411;106642882;;;file://localhost/C:/Users/kasas/Music/Organic%20House/Sebastien%20Leger%20-%20Ashes%20In%20The%20Wind%20(Original%20Mix)%20%5BAll%20Day%20I%20Dream%5D.aiff;10B
881;882;Rome (Original Mix);Juan Pablo Torrez;122;Progressive House;Bm;2020-08-16;Rome;Perspectives Digital;;320;17410754;;3;file://localhost/C:/E+/20T18/Juan%20Pablo%20Torrez%20-%20Rome%20(Original%20Mix)%20%5BTraxCrate.com%5D.mp3;10A
434;435;Coming Home (Extended Mix);Gux Jimenez, Juan Pablo Torrez;122;Progressive House;Bm;2022-01-22;Coming Home / Come My Way;UV;;320;18363717;0xffa500;5;file://localhost/C:/E+/22T01_Enero/Gux%20Jimenez,%20Juan%20Pablo%20Torrez-Coming%20Home%20(Extended%20Mix).mp3;10A
1922;1923;Ashes In The Wind (Original Mix) ;Sebastien Leger;121;Melodic House & Techno;D;2022-04-16;Secrets EP (28 Feb 2020);All Day I Dream;;1411;106642882;;;file://localhost/C:/Users/kasas/Music/Organic%20House/Sebastien%20Leger%20-%20Ashes%20In%20The%20Wind%20(Original%20Mix)%20%5BAll%20Day%20I%20Dream%5D.aiff;10B
