;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
414;415;Lava;Sebastien Leger-;121;Organic House / Downtempo;Am;2021-12-31;Feel EP;All Day I Dream ;;128;8137221;;1;file://localhost/C:/E+/21T12_Dic_Others/Sebastien%20Leger-Lava.mp3;8A
1197;1198;Different Decisions (Gux Jimenez Remix) ;Nava, Smyk;120;Melodic House & Techno;Am;2020-10-10;Different Decisions: Remixed;Stripped Digital;https://djsoundtop.com;320;17990665;;2;file://localhost/C:/E+/20T20/Nava,%20Smyk%20-%20Different%20Decisions%20(Gux%20Jimenez%20Remix).mp3;8A
2117;2118;We Used to Laugh;Sebastien Leger-;121;Organic House / Downtempo;Em;2022-11-14;Regina Blue EP;All Day I Dream ;;320;19892615;;2;file://localhost/C:/E+/02-DonwloadsAll/202211_OrganicAllDayIDream/Sebastien%20Leger-We%20Used%20to%20Laugh.mp3;9A
309;310;Aperon (Original Mix);Alex O Rion;120;Progressive House;Fm;2022-05-13;Space Age;Replug;R06;320;15577015;0xffa500;2;"file://localhost/C:/E+/22T05_Mayo_Progress/Alex%20O%26%23039;Rion-Aperon%20(Original%20Mix).mp3";4A
402;403;Phase Colour;Michael A;121;Progressive House;Fm;2021-12-31;Phase Colour;Grey Bar Hotel;;320;17962001;;3;file://localhost/C:/E+/21T12_Dic_Others/Michael%20A%20-%20Phase%20Colour-www.groovytunes.org.mp3;4A
1477;1478;Hasenheide (Original Mix)  [YOMO];Moodfreak - ;121;;Cm;2020-04-19;;;;320;17264085;0xff007f;2;file://localhost/C:/E+/20T07/PREMIERE_%20Moodfreak%20-%20Hasenheide%20(Original%20Mix)%20%20%5BYOMO%5D.mp3;5A
382;383;Ihy (Original Mix);Ruben Karapetyan;122;Progressive House;Gm;2022-02-28;Sooner or Later;Movement Recordings;;320;20849139;0x25fde9;6;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Ihy%20(Original%20Mix).mp3;6A
787;788;Denouement (D-Nox Remix) ;Anton MAKe;121;Progressive House;Dm;2021-07-14;Bulletproof, Vol. 2;Proton Music;;320;17529730;0x25fde9;2;file://localhost/C:/E+/21T07_Julio_PN/Anton%20MAKe%20-%20Denouement%20(D-Nox%20Remix)_pn.mp3;7A
1008;1009;Apricus (Original Mix);STANDERWICK;120;Trance;Am;2021-04-17;Apricus;Armind (Armada);;320;11225003;;2;file://localhost/C:/E+/Trance_2104_Abril/STANDERWICK%20-%20Apricus%20(Original%20Mix).mp3;8A
1425;1426;Upside Down (Joris Voorn Extended Mix) (Joris Voorn Extended Mix);Editors;120;Other;Am;2020-04-25;;;;320;16044408;;2;file://localhost/C:/E+/20T08/Editors%20-%20Upside%20Down%20(Joris%20Voorn%20Extended%20Mix)%20(Joris%20Voorn%20Extended%20Mix).mp3;8A
