;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
415;416;Son of Sun (Original Mix);Sebastien Leger-;121;Organic House / Downtempo;Am;2021-12-31;Feel EP;All Day I Dream ;;256;17986714;0xff0000;8;file://localhost/C:/E+/21T12_Dic_Others/Sebastien%20Leger-Son%20of%20Sun%20(Original%20Mix).mp3;8A
2185;2186;Under Dark (Innellea Remix) ;Monolink;120;Melodic House & Techno;Em;2022-10-27;Under Dark (Innellea Remix);Embassy One;9A;1411;71633924;;1;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/Monolink%20-%20Under%20Dark%20(Innellea%20Remix)%20%5BEmbassy%20One%5D%20-%209A.aiff;9A
754;755;Lonely Space (Alex O'Rion Remix) ;Dabeat, Kamilo Sanclemente;120;Progressive House;Bm;2021-07-20;Lonely Space EP;Plaisirs Sonores Records;TraxCrate.com;320;19394173;;1;file://localhost/C:/E+/21T07_Julio_CO/Dabeat,%20Kamilo%20Sanclemente%20-%20Lonely%20Space%20(Alex%20O'Rion%20Remix).mp3;10A
788;789;Auriga (Dmitry Molosh Remix)_pn;Anton MAKe;121;Progressive House;Cm;2021-07-14;Auriga;WARPP;Vocal *****;320;17930015;0xffa500;14;file://localhost/C:/E+/21T07_Julio_PN/Anton%20MAKe-Auriga%20(Dmitry%20Molosh%20Remix)_pn.mp3;5A
417;418;The Rise (GMJ & Matter Remix);Simos Tagias;121;Progressive House;Gm;2021-12-31;The Rise;Mango Alley;;320;19431348;;2;file://localhost/C:/E+/21T12_Dic_Others/Simos%20Tagias%20-%20The%20Rise%20GMJ%20%26%20Matter%20Remix-www.groovytunes.org.mp3;6A
907;908;Growing (Original Mix) ;Juanes Mesa;119;Progressive House;Dm;2021-06-15;Growing / Incipient;Onestar Records;;320;19483692;;3;file://localhost/C:/E+/21T06_Junio/Juanes%20Mesa%20-%20Growing%20(Original%20Mix).mp3;7A
772;773;Kessell (Original Mix);Kamilo Sanclemente, Dabeat;121;Progressive House;F;2021-07-20;Dream Walker;Hope Recordings;Temp;320;18564172;0xffa500;5;file://localhost/C:/E+/21T07_Julio_CO/Kamilo%20Sanclemente,%20Dabeat%20-%20Kessell%20(Original%20Mix)%20%5BHope%20Recordings%5D.mp3;7B
776;777;Alpha;Kamilo Sanclemente, Simos Tagias;122;Progressive House;Dm;2021-07-20;Final Warning;Movement Recordings;;320;19237778;;2;file://localhost/C:/E+/21T07_Julio_CO/Kamilo%20Sanclemente,%20Simos%20Tagias-Alpha.mp3;7A
2352;2353;Pillow Talk _ Extended Mix;Lexer-;122;Progressive House;Ebm;2022-11-21;Pillow Talk;This Never Happened;Funky;320;14899401;;3;file://localhost/C:/E+/02-DonwloadsAll/202211_ProgressiveVarios/Lexer-Pillow%20Talk%20_%20Extended%20Mix.mp3;2A
1761;1762;Homeless (Joris Voorn Remix);Paul Simon;122;Melodic House & Techno;Ebm;2020-01-21;Graceland - The Remixes;Legacy Recordings;;320;14562134;;8;file://localhost/C:/E+/19T5/Paul%20Simon%20-%20Homeless%20(Joris%20Voorn%20Remix).mp3;2A
