;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
2205;2206;Orris;Deep Finback-;120;Progressive House;Am;2022-10-27;Spring Depth ,vol.3;Lincor;;320;17393761;0xffa500;1;file://localhost/C:/E+/02-DonwloadsAll/202210_02_Melody%26P/Deep%20Finback-Orris.mp3;8A
2205;2206;Orris;Deep Finback-;120;Progressive House;Am;2022-10-27;Spring Depth ,vol.3;Lincor;;320;17393761;0xffa500;1;file://localhost/C:/E+/02-DonwloadsAll/202210_02_Melody%26P/Deep%20Finback-Orris.mp3;8A
1087;1088;L'Arbre Des Contes (Original Mix);Alex O'Rion;120;Progressive House;Bbm;2020-12-18;Marathon;Replug;19_13;320;19580895;0xff007f;11;file://localhost/C:/E+/20T24/Alex%20O'Rion%20-%20L'Arbre%20Des%20Contes%20(Original%20Mix).mp3;3A
2101;2102;Utopia (Mayro Remix);Rokazer;120;Progressive House;Bbm;2022-10-09;Hope / Utopia;Mango Alley;Oscura Techno Moostay;320;16875753;0xff0000;1;file://localhost/C:/E+/02-DonwloadsAll/202210_Progressive_MangoAlley/Rokazer-Utopia%20(Mayro%20Remix).mp3;3A
738;739;Tormenta (Parallel Universe Remix);Willscape;121;Progressive House;Fm;2021-08-18;Tormenta;ICONYC Noir;;320;18274747;0xffa500;1;file://localhost/C:/E+/20T08_Agosto/Willscape-Tormenta%20(Parallel%20Universe%20Remix).mp3;4A
1227;1228;Exapsis (Alex O' Rion Remix);Tash, Paul Angelo, Don Argento;120;Progressive House;Cm;2020-08-28;Exapsis;Just Movement;15_11X;320;19498695;;3;file://localhost/C:/E+/20T19/Tash%20Paul%20Angelo%20Don%20Argento%20-%20Exapsis%20Alex%20O%20Rion%20Remix-www.groovytunes.org.mp3;5A
719;720;Alkahest;Dizharmonia feat. Eleonora;120;Progressive House;Dbm;2021-08-07;Alkahest;Movement Recordings;5A - 7A Vocal;320;17331114;0xff007f;1;file://localhost/C:/E+/20T08_Agosto/Dizharmonia%20feat.%20Eleonora-Alkahest.mp3;12A
2134;2135;Namatik;Alan Cerra;122;Progressive House;Dbm;2022-10-27;Reloaded;Siona Records;;320;19296214;;3;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/Alan%20Cerra%20-%20Namatik%20%5BSiona%20Records%5D%20-%203B.mp3;12A
2134;2135;Namatik;Alan Cerra;122;Progressive House;Dbm;2022-10-27;Reloaded;Siona Records;;320;19296214;;3;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/Alan%20Cerra%20-%20Namatik%20%5BSiona%20Records%5D%20-%203B.mp3;12A
2198;2199;Discoteca (feat. Sofie);&ME, Adam Port & Rampa;120;Melodic House & Techno;Dbm;2022-10-27;Discoteca;Keinemusik;11A;1411;67955204;;;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/_ME,%20Adam%20Port%20_%20Rampa%20-%20Discoteca%20(feat.%20Sofie)%20%5BKeinemusik%5D%20-%2011A.aiff;12A
