;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
2367;2368;Waves & Wavs feat. Lizwi (Original Mix);Lizwi, Ahmed Spins;120;Afro House;Am;2023-01-28;Anchor Point EP;MoBlack Records;;320;13225934;;;file://localhost/C:/E+/02-DonwloadsAll/202301_Organic/Lizwi,%20Ahmed%20Spins%20-%20Waves%20%26%20Wavs%20feat.%20Lizwi%20(Original%20Mix)_(EEMUSIC.ru).mp3;8A
1959;1960;System Failure;Ubbah-;120;Melodic House & Techno;Em;2022-09-17;Unity Pt. 3;Afterlife Records;;320;16823900;0xffa500;1;file://localhost/C:/E+/01-MinusTechMelody/03-Afterlife/Ubbah-System%20Failure.mp3;9A
696;697;Eldarin (Kamilo Sanclemente & Dabeat Remix);GMJ, Matter;121;Progressive House;Em;2021-08-01;Eldarin;Meanwhile;Meanwhile;320;17850037;;12;file://localhost/C:/E+/20T08_Agosto/GMJ%20Matter%20-%20Eldarin%20Kamilo%20Sanclemente%20%26%20Dabeat%20Remix%20%5Bmeanwhile%5D.mp3;9A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
1749;1750;Niflheim (Original mix);Darin Epsilon;120;Progressive House;Gbm;2020-01-21;Midgard EP;Warung Recordings;suave comenzar;320;15524480;;1;file://localhost/C:/E+/19T5/Darin%20Epsilon%20-%20Niflheim%20(Original%20mix).mp3;11A
968;969;Escape ;Ivan Berkowitz & Ras Algethi;120;Progressive House;Gm;2021-05-20;Escape;ICONYC Noir;;320;18009230;0xff007f;1;file://localhost/C:/E+/21T05_Mayo/01-ivan_berkowitz_x_ras_algethi-escape-e7871a1d.mp3;6A
1478;1479;Back to the Jungle (Original Mix);Sergio Avila;120;Melodic House & Techno;Abm;2020-04-19;Back to the Jungle;Superordinate Music;;320;16869808;;2;file://localhost/C:/E+/20T07/Sergio%20Avila%20-%20Back%20to%20the%20Jungle%20(Original%20Mix).mp3;1A
2190;2191;Pleaides;Øntold;122;Melodic House & Techno;Am;2022-10-27;Connect;Techno Me And You;8A;320;17968123;;1;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/%C3%98ntold%20-%20Pleaides%20%5BTM_Y%20Records%5D%20-%208A.mp3;8A
794;795;Prelude_pn;Ede;120;Melodic House & Techno;Am;2021-07-14;Prelude;ISOLATE;Melody/Techno;320;15879658;0xff007f;1;file://localhost/C:/E+/21T07_Julio_PN/Ede-Prelude_pn.mp3;8A
