;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
414;415;Lava;Sebastien Leger-;121;Organic House / Downtempo;Am;2021-12-31;Feel EP;All Day I Dream ;;128;8137221;;1;file://localhost/C:/E+/21T12_Dic_Others/Sebastien%20Leger-Lava.mp3;8A
2363;2364;My Soul (Extended Mix);Evelynka, Jean Vayat;114;Organic House / Downtempo;Bbm;2023-01-28;My Soul;Art Vibes Music;;320;16431627;;1;file://localhost/C:/E+/02-DonwloadsAll/202301_Organic/Evelynka,%20Jean%20Vayat%20-%20My%20Soul%20(Extended%20Mix)_(x-Minusovka.ru).mp3;3A
636;637;Hibiki Iro;Resil;72;Electronica;Fm;2021-09-05;Bella Mar 08;Einmusika Recordings;;320;12828329;;;file://localhost/C:/E+/21T09_SepMelody/10-Resil%20-%20Hibiki%20Iro-electrobuzz.net.mp3;4A
211;212;Collider (Soulmade (AR) Remix);Darren Bray-;120;Progressive House;Cm;2022-05-19;Sequence;AH Digital;;320;18109515;0xffa500;1;file://localhost/C:/E+/22T05_Mayo_Progress2/Darren%20Bray-Collider%20(Soulmade%20(AR)%20Remix).mp3;5A
718;719;Alkahest feat. Eleonora (Binaryh Remix);Dizharmonia feat. Eleonora;93;Melodic House & Techno;Dbm;2021-08-07;Alkahest;Movement Recordings;5A-7A Vocal;320;17485043;0xff007f;1;file://localhost/C:/E+/20T08_Agosto/Dizharmonia-Alkahest%20feat.%20Eleonora%20(Binaryh%20Remix).mp3;12A
610;611;Alkahest;Dizharmonia feat. Eleonora;120;Progressive House;Dbm;2021-09-01;Alkahest;Movement Recordings;;320;17332133;;1;file://localhost/C:/E+/21T09_SepMelody/Dizharmonia%20feat.%20Eleonora-Alkahest.mp3;12A
469;470;Coming Closer (Original Mix);Redspace, Eleene, Lluis Ribalta-;122;Progressive House;Dm;2021-12-10;Coming Closer;Area Verde;Vocal;320;17266661;0xff007f;10;file://localhost/C:/E+/21T12_Dic/Redspace,%20Eleene,%20Lluis%20Ribalta-Coming%20Closer%20(Original%20Mix).mp3;7A
30;31;Mortero (Nishan Lee Remix);Yudi Watanabe-;122;Progressive House;Dm;2022-09-07;Mortero;Transensations Records;;320;17922351;;;file://localhost/C:/E+/22T09_Septiembre2/Yudi%20Watanabe-Mortero%20(Nishan%20Lee%20Remix).mp3;7A
2190;2191;Pleaides;Øntold;122;Melodic House & Techno;Am;2022-10-27;Connect;Techno Me And You;8A;320;17968123;;1;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/%C3%98ntold%20-%20Pleaides%20%5BTM_Y%20Records%5D%20-%208A.mp3;8A
1096;1097;L Arbre Des Contes Vs Allure - The Loves We Lost (Sebastian Busto Mashup) ;Alex O Rion;120;;Bbm;2020-12-18;;;;320;12775434;;2;file://localhost/C:/E+/20T24/Alex%20O%20Rion%20-%20L%20Arbre%20Des%20Contes%20Vs%20Allure%20-%20The%20Loves%20We%20Lost%20(Sebastian%20Busto%20Mashup)%20(unpum.com).mp3;3A
