;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
1750;1751;Umtshingo (Christos Fourkis Remix);h@k;121;Afro House;Am;2020-01-21;After Hours Ibiza 2018;Street King;tribal, sola base 3 tornas;256;11402840;0x00ff00;6;file://localhost/C:/E+/19T5/h@k%20-%20Umtshingo%20(Christos%20Fourkis%20Remix).mp3;8A
1097;1098;Navagio (2020 Rework);Alex O'Rion;120;Progressive House;Am;2020-12-18;Navagio 2020;ICONYC;;320;19637651;;1;file://localhost/C:/E+/20T24/Alex%20O'Rion%20-%20Navagio%20(2020%20Rework).mp3;8A
717;718;Small Alarms (Original Mix);Guy J;120;Progressive House;Bbm;2021-08-07;Small Alarms / Modulator / The Fall;Lost & Found;temporal;320;20957208;0xffa500;13;file://localhost/C:/E+/20T08_Agosto/Guy%20J%20-%20Small%20Alarms%20Original%20Mix-www.groovytunes.org.mp3;3A
2104;2105;Venus (Original Mix);Ruben Karapetyan;121;Progressive House;Fm;2022-10-09;Evening in Yerevan / Venus;Mango Alley;;320;6088490;;;file://localhost/C:/E+/02-DonwloadsAll/202210_Progressive_MangoAlley/Ruben%20Karapetyan-Venus%20(Original%20Mix).mp3;4A
994;995;For Love feat. Lewyn (Original Mix);Haen;120;Progressive House;Ab;2021-04-11;For Love;Songspire Records;4A -;320;19602140;;;file://localhost/C:/E+/21T04_Abril/Haen%20-%20For%20Love%20feat.%20Lewyn%20(Original%20Mix).mp3;4B
994;995;For Love feat. Lewyn (Original Mix);Haen;120;Progressive House;Ab;2021-04-11;For Love;Songspire Records;4A -;320;19602140;;;file://localhost/C:/E+/21T04_Abril/Haen%20-%20For%20Love%20feat.%20Lewyn%20(Original%20Mix).mp3;4B
289;290;Rubikon (D-Nox Remix);Cream (PL)-;122;Progressive House;Fm;2022-05-13;Rubikon;Proton Music;;320;19135861;0xff007f;5;file://localhost/C:/E+/22T05_Mayo_Progress/Cream%20(PL)-Rubikon%20(D-Nox%20Remix).mp3;4A
1677;1678;Garden (Original Mix);&ME;122;Melodic House & Techno;Cm;2020-01-18;Terrace / Garden;Keinemusik;;320;19162370;0xffa500;4;file://localhost/C:/E+/19T11/%26ME%20-%20Garden%20(Original%20Mix)%20%5BTerrace%20_%20Garden%5D.mp3;5A
2198;2199;Discoteca (feat. Sofie);&ME, Adam Port & Rampa;120;Melodic House & Techno;Dbm;2022-10-27;Discoteca;Keinemusik;11A;1411;67955204;;;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/_ME,%20Adam%20Port%20_%20Rampa%20-%20Discoteca%20(feat.%20Sofie)%20%5BKeinemusik%5D%20-%2011A.aiff;12A
1909;1910;Welch (Original Mix) ;Lee Burridge, Lost Desert;118;Melodic House & Techno;Dm;2022-04-16;Lost Desert & Friends;All Day I Dream;;1411;97807028;;;file://localhost/C:/Users/kasas/Music/Organic%20House/Lee%20Burridge,%20Lost%20Desert%20-%20Welch%20(Original%20Mix)%20%5BAll%20Day%20I%20Dream%5D.aiff;7A
