;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
2145;2146;Sun Over the Hills (Original Mix);Furkan Senol, Tolga Uzulmez-;120;Organic House / Downtempo;Am;2022-11-14;Solstice;Future Avenue;;320;14455605;;;file://localhost/C:/E+/02-DonwloadsAll/202211_OrganicVarios/Furkan%20Senol,%20Tolga%20Uzulmez-Sun%20Over%20the%20Hills%20(Original%20Mix).mp3;8A
697;698;Eldarin (Subandrio Remix);GMJ, Matter;121;Progressive House;Em;2021-08-01;Eldarin;Meanwhile;;320;19460105;;1;file://localhost/C:/E+/20T08_Agosto/GMJ%20Matter%20-%20Eldarin%20Subandrio%20Remix%20%5Bmeanwhile%5D.mp3;9A
309;310;Aperon (Original Mix);Alex O Rion;120;Progressive House;Fm;2022-05-13;Space Age;Replug;R06;320;15577015;0xffa500;2;"file://localhost/C:/E+/22T05_Mayo_Progress/Alex%20O%26%23039;Rion-Aperon%20(Original%20Mix).mp3";4A
2415;2416;SOEL-Babel;SOEL;90;Melodic House & Techno;Gbm;2022-10-30;;ORACOLO Records;;320;16880771;;2;file://localhost/C:/E+/01-MinusTechMelody/08-Oracolo/SOEL-Babel.mp3;11A
2227;2228;collider (tonaco remix);"forty cats &amp; bondarev";121;Progressive House;Gbm;2022-12-28;Collider;WARPP;;320;17919331;;1;"file://localhost/C:/E+/02-DonwloadsAll/202212_Warpp/forty%20cats%20%26amp;%20bondarev-collider%20(tonaco%20remix).mp3";11A
693;694;Mood Medicine (Paul Kardos Remix);GMJ;121;Progressive House;Gbm;2021-08-01;Mood Medicine (Remixes);Meanwhile;Meanwhile;320;20729757;;5;file://localhost/C:/E+/20T08_Agosto/GMJ%20-%20Mood%20Medicine%20(Paul%20Kardos%20Remix)%20%5Bmeanwhile%5D.mp3;11A
385;386;5th Element;Space Motion, Stylo;122;Melodic House & Techno;Gbm;2022-02-28;5th Element;Space Motion Records;;320;15386241;0xff0000;10;file://localhost/C:/E+/22T02_Febrero/Space%20Motion,%20Stylo-5th%20Element.mp3;11A
1749;1750;Niflheim (Original mix);Darin Epsilon;120;Progressive House;Gbm;2020-01-21;Midgard EP;Warung Recordings;suave comenzar;320;15524480;;1;file://localhost/C:/E+/19T5/Darin%20Epsilon%20-%20Niflheim%20(Original%20mix).mp3;11A
2198;2199;Discoteca (feat. Sofie);&ME, Adam Port & Rampa;120;Melodic House & Techno;Dbm;2022-10-27;Discoteca;Keinemusik;11A;1411;67955204;;;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/_ME,%20Adam%20Port%20_%20Rampa%20-%20Discoteca%20(feat.%20Sofie)%20%5BKeinemusik%5D%20-%2011A.aiff;12A
1557;1558;Quanta (Original Mix);Mila Journée;122;Melodic House & Techno;Abm;2020-02-12;Quanta;Awen Records;Techno no GOLPE;320;18449528;;4;file://localhost/C:/E+/20T03_Melody/Mila%20Journee%20-%20Quanta%20Original%20Mix.mp3;1A
