;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
393;394;Woolfie;Double Touch-;121;Organic House / Downtempo;Am;2021-12-31;Infinite Nocturne;TRYBESof;;320;17887210;0xffa500;10;file://localhost/C:/E+/21T12_Dic_Others/Double%20Touch-Woolfie.mp3;8A
981;982;Silent Summer;Budakid;121;Progressive House;Em;2021-04-09;Silent Summer / Story Of Tokay;Lost & Found;9A;320;15529353;;;file://localhost/C:/E+/21T04_Abril/Budakid%20-%20Silent%20Summer.mp3;9A
800;801;Seagull_pn;Ivan Aliaga;121;Progressive House;G;2021-07-14;Delta Wing;onedotsixtwo;;320;19404477;0xff007f;1;file://localhost/C:/E+/21T07_Julio_PN/Ivan%20Aliaga-Seagull_pn.mp3;9B
792;793;Silent Summer;Budakid;121;Progressive House;Em;2021-07-14;Silent Summer / Story Of Tokay;Lost & Found;Comercial;320;15526617;0xff007f;2;file://localhost/C:/E+/21T07_Julio_PN/Budakid%20-%20Silent%20Summer_pn.mp3;9A
0;1;Ubi;Mia Mendi, Thomas Gandey;121;Melodic House & Techno;Em;2022-09-07;Ubi EP;Watergate Records;;320;16845301;;3;file://localhost/C:/E+/22T09_Septiembre2/Mia%20Mendi,%20Thomas%20Gandey-Ubi.mp3;9A
383;384;Acceptance;Ruben Karapetyan;120;Progressive House;Bm;2022-02-28;Janus / Acceptance;aboriginal;;320;18622227;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
2415;2416;SOEL-Babel;SOEL;90;Melodic House & Techno;Gbm;2022-10-30;;ORACOLO Records;;320;16880771;;2;file://localhost/C:/E+/01-MinusTechMelody/08-Oracolo/SOEL-Babel.mp3;11A
327;328;Sky Is Alight;Zy Khan-;122;Progressive House;Gbm;2022-04-23;Sky Is Alight;Sounds of Krafted;;320;16744265;0xffa500;1;file://localhost/C:/E+/22T04_Abril_Progress/Zy%20Khan-Sky%20Is%20Alight.mp3;11A
532;533;Hyperspace;Far Distance, Rauschhaus;122;Melodic House & Techno;Gbm;2021-11-09;Hyperspace / Stardust;Perspectives Digital;;320;16521149;0xff007f;20;file://localhost/C:/E+/21T11_Nov01/Far%20Distance,%20Rauschhaus-Hyperspace.mp3;11A
2136;2137;SOEL-Path Tracker;SOEL;120;Melodic House & Techno;Dbm;2022-10-30;;ORACOLO Records;;320;17281741;;2;file://localhost/C:/E+/01-MinusTechMelody/08-Oracolo/SOEL-Path%20Tracker.mp3;12A
907;908;Growing (Original Mix) ;Juanes Mesa;119;Progressive House;Dm;2021-06-15;Growing / Incipient;Onestar Records;;320;19483692;;3;file://localhost/C:/E+/21T06_Junio/Juanes%20Mesa%20-%20Growing%20(Original%20Mix).mp3;7A
1016;1017;Sayonara (Analog Jungs Remix);Golan Zocher & Choopie;123;Progressive House;Am;2021-04-24;;;;320;20295097;;1;file://localhost/C:/Users/USER/Downloads/Golan%20Zocher%20%26%20Choopie%20-%20Sayonara%20(Analog%20Jungs%20Remix).mp3;8A
1074;1075;Trigger (Original Mix) ;Highjacks;123;Progressive House;Am;2020-04-19;Venus;Lowbit;;320;17118678;0xff007f;4;file://localhost/C:/E+/20T07/Highjacks%20-%20Trigger%20(Original%20Mix).mp3;8A
1959;1960;System Failure;Ubbah-;120;Melodic House & Techno;Em;2022-09-17;Unity Pt. 3;Afterlife Records;;320;16823900;0xffa500;1;file://localhost/C:/E+/01-MinusTechMelody/03-Afterlife/Ubbah-System%20Failure.mp3;9A
883;884;Mars's Moon (Original Mix);Innellea;122;Melodic House & Techno;Bm;2021-06-29;Picture: Innellea;Diynamic;roja;320;16597919;0xff0000;10;file://localhost/C:/E+/21T06_Junio_Organic/Innellea%20-%20Marss%20Moon%20Original%20Mix.mp3;10A
1476;1477;Blue Enigma (Original Mix);Morttagua & Ubbah feat. Eleonora ;123;Progressive House;Cm;2020-04-19;Blue Enigma;Timeless Moment;1;320;20399159;0xff007f;4;file://localhost/C:/E+/20T07/Morttagua%20%26%20Ubbah%20feat.%20Eleonora%20-%20Blue%20Enigma%20(Original%20Mix).mp3;5A
141;142;Joroh (Original Mix);Mary Mesk;124;Progressive House;Dbm;2022-07-21;Aira;Area Verde;;320;16818925;0xff007f;1;file://localhost/C:/E+/22T07_Julio/Julio2/Mary%20Mesk%20-%20Joroh%20Original%20Mix.mp3;12A
