;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
2290;2291;Thick Skin (Original Mix);The Wash - ;120;Progressive House;Am;2023-03-10;Manifest;Mango Alley;;320;21077854;;;file://localhost/C:/E+/02-DonwloadsAll/202303_Continuous/The%20Wash%20-%20Thick%20Skin%20(Original%20Mix)_(ZeroSound.ru).mp3;8A
694;695;Precipice (Sebastian Sellares Remix);GMJ;121;Progressive House;Am;2021-08-01;Mood Medicine (Remixes);Meanwhile;Meanwhile;320;18961547;;3;file://localhost/C:/E+/20T08_Agosto/GMJ%20-%20Precipice%20(Sebastian%20Sellares%20Remix)%20%5Bmeanwhile%5D.mp3;8A
401;402;Pacha Mama;Matter-;121;Progressive House;Em;2021-12-31;Starchild;Meanwhile Horizons;;320;21339427;0xffa500;3;file://localhost/C:/E+/21T12_Dic_Others/Matter-Pacha%20Mama.mp3;9A
383;384;Acceptance;Ruben Karapetyan;120;Progressive House;Bm;2022-02-28;Janus / Acceptance;aboriginal;;320;18622227;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
700;701;The Path (Alex O'Rion Remix);GMJ, Matter;121;Progressive House;Cm;2021-08-01;The Path / Perfect Storm (including Alex O'Rion Remix);Meanwhile;;320;20524563;;;file://localhost/C:/E+/20T08_Agosto/GMJ,%20Matter%20-%20The%20Path%20(Alex%20O'Rion%20Remix)%20%5Bmeanwhile%5D.mp3;5A
1495;1496;Kaputt (Original Mix);Ost & Kjex;120;Melodic House & Techno;Gm;2020-04-09;Kaputt EP;Eleatics Records;No, me gusta la vocal;320;17679891;;1;file://localhost/C:/E+/20T06/Ost%20%26%20Kjex%20-%20Kaputt%20(Original%20Mix).mp3;6A
742;743;Musai;Claudio Cornejo (AR), Jonnas B;121;Progressive House;Abm;2021-08-18;Tuareg | Musai;Clubsonica Records;;320;18100446;;2;file://localhost/C:/E+/20T08_Agosto/Claudio%20Cornejo%20(AR),%20Jonnas%20B-Musai.mp3;1A
1729;1730;Appearance (Original Mix);Antrim;122;Progressive House;Ebm;2020-01-06;Desire / Purpose / Appearance;Plattenbank;Deep;320;20307866;;2;file://localhost/C:/E+/19T7/Antrim%20-%20Appearance%20Original%20Mix.mp3;2A
686;687;Mood Medicine (Original Mix);GMJ;121;Progressive House;Em;2021-07-29;Mood Medicine;Meanwhile;Meanwhile;320;20755117;0xff0000;10;file://localhost/C:/E+/20T08_Agosto/GMJ%20-%20Mood%20Medicine%20(Original%20Mix).mp3;9A
800;801;Seagull_pn;Ivan Aliaga;121;Progressive House;G;2021-07-14;Delta Wing;onedotsixtwo;;320;19404477;0xff007f;1;file://localhost/C:/E+/21T07_Julio_PN/Ivan%20Aliaga-Seagull_pn.mp3;9B
