;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
1589;1590;Cram - A Good Night (Purple Disco Machine Remix);Cram - A Good Night (Purple Disco Machine Remix) DANCEDJ.CLUB;121;Deep House;Am;2020-01-30;A Good Night (The Remixes);Deso Records;;320;18678569;;5;file://localhost/C:/E+/20T02_House/Cram%20-%20A%20Good%20Night%20(Purple%20Disco%20Machine%20Remix)%20DANCEDJ.CLUB.mp3;8A
717;718;Small Alarms (Original Mix);Guy J;120;Progressive House;Bbm;2021-08-07;Small Alarms / Modulator / The Fall;Lost & Found;temporal;320;20957208;0xffa500;13;file://localhost/C:/E+/20T08_Agosto/Guy%20J%20-%20Small%20Alarms%20Original%20Mix-www.groovytunes.org.mp3;3A
911;912;Masana (Mariano Favre Remix);Juan Sapia, Hasith;121;Progressive House;Fm;2021-06-29;Masana | Embrace;Clubsonica Records;;320;20078315;0xffa500;5;file://localhost/C:/E+/21T06_Junio/Juan%20Sapia%20Hasith%20-%20Masana%20Mariano%20Favre%20Remix.mp3;4A
693;694;Mood Medicine (Paul Kardos Remix);GMJ;121;Progressive House;Gbm;2021-08-01;Mood Medicine (Remixes);Meanwhile;Meanwhile;320;20729757;;5;file://localhost/C:/E+/20T08_Agosto/GMJ%20-%20Mood%20Medicine%20(Paul%20Kardos%20Remix)%20%5Bmeanwhile%5D.mp3;11A
255;256;The Sense (Extended Mix);Space Food-;120;Progressive House;Dbm;2022-05-04;The Sense;Siona Records;;320;16019666;0xffa500;3;file://localhost/C:/E+/22T05_Mayo_Progress/Space%20Food-The%20Sense%20(Extended%20Mix).mp3;12A
742;743;Musai;Claudio Cornejo (AR), Jonnas B;121;Progressive House;Abm;2021-08-18;Tuareg | Musai;Clubsonica Records;;320;18100446;;2;file://localhost/C:/E+/20T08_Agosto/Claudio%20Cornejo%20(AR),%20Jonnas%20B-Musai.mp3;1A
292;293;The Heavens Open (Dmitry Molosh Remix);Surmillo-;122;Progressive House;Ebm;2022-05-13;The Heavens Open;Suprematic;R305;320;19928740;0xff007f;3;file://localhost/C:/E+/22T05_Mayo_Progress/Surmillo-The%20Heavens%20Open%20(Dmitry%20Molosh%20Remix).mp3;2A
371;372;Combina;Luka Sambe;122;Progressive House;Ebm;2022-02-18;Combina;Sudbeat Music;;320;20251096;0xffa500;2;file://localhost/C:/E+/22T02_Febrero/Luka%20Sambe-Combina.mp3;2A
704;705;Home (Original Mix);Mike Isai;120;Progressive House;Em;2021-08-01;Home / 87 North;Meanwhile;Meanwhile;320;20655929;0xff007f;13;file://localhost/C:/E+/20T08_Agosto/Mike%20Isai%20-%20Home%20(Original%20Mix)%20%5Bmeanwhile%5D.mp3;9A
798;799;The Power of Now;Fer De Risio;122;Progressive House;G;2021-07-14;Dusk to Dawn 2;AH Digital;;320;20485896;0xffa500;1;file://localhost/C:/E+/21T07_Julio_PN/Fer%20De%20Risio-The%20Power%20of%20Now_pn.mp3;9B
