;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
625;626;The Last Dance;Shai T;120;Organic House / Downtempo;Am;2021-09-04;The Last Dance;Lost Miracle;;320;19476870;;1;file://localhost/C:/E+/21T09_SepMelody/Shai%20T-The%20Last%20Dance.mp3;8A
2290;2291;Thick Skin (Original Mix);The Wash - ;120;Progressive House;Am;2023-03-10;Manifest;Mango Alley;;320;21077854;;;file://localhost/C:/E+/02-DonwloadsAll/202303_Continuous/The%20Wash%20-%20Thick%20Skin%20(Original%20Mix)_(ZeroSound.ru).mp3;8A
1959;1960;System Failure;Ubbah-;120;Melodic House & Techno;Em;2022-09-17;Unity Pt. 3;Afterlife Records;;320;16823900;0xffa500;1;file://localhost/C:/E+/01-MinusTechMelody/03-Afterlife/Ubbah-System%20Failure.mp3;9A
1959;1960;System Failure;Ubbah-;120;Melodic House & Techno;Em;2022-09-17;Unity Pt. 3;Afterlife Records;;320;16823900;0xffa500;1;file://localhost/C:/E+/01-MinusTechMelody/03-Afterlife/Ubbah-System%20Failure.mp3;9A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
2152;2153;Kinein Kinema ;INVŌKER (FR);120;Melodic House & Techno;Gbm;2022-10-25;Moments EP;Siamese;11A;1411;72589208;;1;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/INVO%CC%84KER%20(FR)%20-%20Kinein%20Kinema%20%20%5BSiamese%5D%20-%2011A.aiff;11A
2227;2228;collider (tonaco remix);"forty cats &amp; bondarev";121;Progressive House;Gbm;2022-12-28;Collider;WARPP;;320;17919331;;1;"file://localhost/C:/E+/02-DonwloadsAll/202212_Warpp/forty%20cats%20%26amp;%20bondarev-collider%20(tonaco%20remix).mp3";11A
2165;2166;Tik Tak (Original Mix) ;Erika Krall & Lian Gold;122;Melodic House & Techno;Gbm;2022-10-27;Tik Tak;HOLY;2B;1411;67404710;;;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/Erika%20Krall%20_%20Lian%20Gold%20-%20Tik%20Tak%20(Original%20Mix)%20%5BHOLY%5D%20-%202B.aiff;11A
2194;2195;Player (Original Mix) ;Stylo & Space Motion;122;Melodic House & Techno;Gbm;2022-10-27;Player;Space Motion Records;11A;1411;67201808;;;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/Stylo%20_%20Space%20Motion%20-%20Player%20(Original%20Mix)%20%5BSpace%20Motion%20Records%5D%20-%2011A.aiff;11A
287;288;Hidden (Jorge Viana Remix);Nicolas Benedetti-;122;Progressive House;Gbm;2022-05-13;Hidden;Balkan Connection South America;Technera, minimaluda buena;320;20302656;0xff007f;9;file://localhost/C:/E+/22T05_Mayo_Progress/Nicolas%20Benedetti-Hidden%20(Jorge%20Viana%20Remix).mp3;11A
