;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
817;818;Trincomale_pn;Y KOJ;121;Progressive House;Am;2021-07-14;Dusk to Dawn 2;AH Digital;;320;10792659;0xffa500;1;file://localhost/C:/E+/21T07_Julio_PN/Y%20KOJ-Trincomale_pn.mp3;8A
0;1;Ubi;Mia Mendi, Thomas Gandey;121;Melodic House & Techno;Em;2022-09-07;Ubi EP;Watergate Records;;320;16845301;;3;file://localhost/C:/E+/22T09_Septiembre2/Mia%20Mendi,%20Thomas%20Gandey-Ubi.mp3;9A
1;2;Mortero;Yudi Watanabe;120;Progressive House;Fm;2022-09-07;Mortero;Transensations Records;;320;18463577;;1;file://localhost/C:/E+/22T09_Septiembre2/Yudi%20Watanabe-Mortero.mp3;4A
994;995;For Love feat. Lewyn (Original Mix);Haen;120;Progressive House;Ab;2021-04-11;For Love;Songspire Records;4A -;320;19602140;;;file://localhost/C:/E+/21T04_Abril/Haen%20-%20For%20Love%20feat.%20Lewyn%20(Original%20Mix).mp3;4B
994;995;For Love feat. Lewyn (Original Mix);Haen;120;Progressive House;Ab;2021-04-11;For Love;Songspire Records;4A -;320;19602140;;;file://localhost/C:/E+/21T04_Abril/Haen%20-%20For%20Love%20feat.%20Lewyn%20(Original%20Mix).mp3;4B
994;995;For Love feat. Lewyn (Original Mix);Haen;120;Progressive House;Ab;2021-04-11;For Love;Songspire Records;4A -;320;19602140;;;file://localhost/C:/E+/21T04_Abril/Haen%20-%20For%20Love%20feat.%20Lewyn%20(Original%20Mix).mp3;4B
738;739;Tormenta (Parallel Universe Remix);Willscape;121;Progressive House;Fm;2021-08-18;Tormenta;ICONYC Noir;;320;18274747;0xffa500;1;file://localhost/C:/E+/20T08_Agosto/Willscape-Tormenta%20(Parallel%20Universe%20Remix).mp3;4A
2226;2227;Octopus;Tali Muss, Bondarev;121;Progressive House;Gbm;2022-12-28;Octopus;WARPP;fresh;320;15455398;;2;file://localhost/C:/E+/02-DonwloadsAll/202212_Warpp/Tali%20Muss%20Bondarev%20-%20Octopus.mp3;11A
629;630;Better Days;Catom;122;Melodic House & Techno;Gbm;2021-09-05;Bella Mar 08;Einmusika Recordings;;320;15697899;0xffff00;1;file://localhost/C:/E+/21T09_SepMelody/03-Catom%20-%20Better%20Days-electrobuzz.net.mp3;11A
786;787;Leda (Original Mix) ;Juan Pablo Torrez, Kamilo Sanclemente;122;Progressive House;Gm;2020-07-18;Summer Collection;The Soundgarden;;320;22032586;;1;file://localhost/C:/E+/20T16/Juan%20Pablo%20Torrez%20Kamilo%20Sanclemente%20-%20Leda%20Original%20Mix.mp3;6A
