;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
414;415;Lava;Sebastien Leger-;121;Organic House / Downtempo;Am;2021-12-31;Feel EP;All Day I Dream ;;128;8137221;;1;file://localhost/C:/E+/21T12_Dic_Others/Sebastien%20Leger-Lava.mp3;8A
698;699;Lost On Origin (Imran's 4am Mix);GMJ, Matter;121;Progressive House;Am;2021-08-01;Lost on Origin (Andrea Cassino, Imran Khan Remixes);Meanwhile;Meanwhile oscura;320;18476232;0xffa500;32;file://localhost/C:/E+/20T08_Agosto/GMJ,%20Matter%20-%20Lost%20On%20Origin%20(Imran's%204am%20Mix)%20%5Bmeanwhile%5D.mp3;8A
2101;2102;Utopia (Mayro Remix);Rokazer;120;Progressive House;Bbm;2022-10-09;Hope / Utopia;Mango Alley;Oscura Techno Moostay;320;16875753;0xff0000;1;file://localhost/C:/E+/02-DonwloadsAll/202210_Progressive_MangoAlley/Rokazer-Utopia%20(Mayro%20Remix).mp3;3A
2101;2102;Utopia (Mayro Remix);Rokazer;120;Progressive House;Bbm;2022-10-09;Hope / Utopia;Mango Alley;Oscura Techno Moostay;320;16875753;0xff0000;1;file://localhost/C:/E+/02-DonwloadsAll/202210_Progressive_MangoAlley/Rokazer-Utopia%20(Mayro%20Remix).mp3;3A
1;2;Mortero;Yudi Watanabe;120;Progressive House;Fm;2022-09-07;Mortero;Transensations Records;;320;18463577;;1;file://localhost/C:/E+/22T09_Septiembre2/Yudi%20Watanabe-Mortero.mp3;4A
693;694;Mood Medicine (Paul Kardos Remix);GMJ;121;Progressive House;Gbm;2021-08-01;Mood Medicine (Remixes);Meanwhile;Meanwhile;320;20729757;;5;file://localhost/C:/E+/20T08_Agosto/GMJ%20-%20Mood%20Medicine%20(Paul%20Kardos%20Remix)%20%5Bmeanwhile%5D.mp3;11A
782;783;Nopal;Zalvador;122;Progressive House;A;2021-07-20;Never Depressive Always Progressive;MNL;;320;19145551;;1;file://localhost/C:/E+/21T07_Julio_CO/Zalvador-Nopal.mp3;11B
439;440;Different Worlds;EANP;122;Progressive House;A;2022-02-05;Different Worlds / Shadows;The Soundgarden;init;320;20562172;0xff007f;3;file://localhost/C:/E+/22T01_Enero/EANP-Different%20Worlds.mp3;11B
782;783;Nopal;Zalvador;122;Progressive House;A;2021-07-20;Never Depressive Always Progressive;MNL;;320;19145551;;1;file://localhost/C:/E+/21T07_Julio_CO/Zalvador-Nopal.mp3;11B
758;759;Face to Face (Dabeat & Juan Pablo Torrez Remix);Fernando Olaya;122;Progressive House;A;2021-07-20;Ethnicolor / Face to Face;Mango Alley;;320;20291651;;1;file://localhost/C:/E+/21T07_Julio_CO/Fernando%20Olaya%20-%20Face%20to%20Face%20Dabeat%20%26%20Juan%20Pablo%20Torrez%20Remix.mp3;11B
