;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
694;695;Precipice (Sebastian Sellares Remix);GMJ;121;Progressive House;Am;2021-08-01;Mood Medicine (Remixes);Meanwhile;Meanwhile;320;18961547;;3;file://localhost/C:/E+/20T08_Agosto/GMJ%20-%20Precipice%20(Sebastian%20Sellares%20Remix)%20%5Bmeanwhile%5D.mp3;8A
2101;2102;Utopia (Mayro Remix);Rokazer;120;Progressive House;Bbm;2022-10-09;Hope / Utopia;Mango Alley;Oscura Techno Moostay;320;16875753;0xff0000;1;file://localhost/C:/E+/02-DonwloadsAll/202210_Progressive_MangoAlley/Rokazer-Utopia%20(Mayro%20Remix).mp3;3A
1128;1129;Godtripper (Patrice B umel Pyschoactive Rework);Oona Dahl;83;Melodic House & Techno;Fm;2020-11-25;Godtripper EP;Watergate Records;18_03;320;18312626;;5;file://localhost/C:/E+/20T23/Oona%20Dahl%20-%20Godtripper%20(Patrice%20B%20umel%20Pyschoactive%20Rework).mp3;4A
2163;2164;Panic Attack ;Echonomist, Jenia Tarsol;120;Melodic House & Techno;Cm;2022-10-27;Panic Attack;Afterlife Records;8B;1411;68780782;;;file://localhost/C:/E+/02-DonwloadsAll/2022_10_MELODIC%20ELEVA/Echonomist,%20Jenia%20Tarsol%20-%20Panic%20Attack%20%20%5BAfterlife%20Records%5D%20-%208B.aiff;5A
2136;2137;SOEL-Path Tracker;SOEL;120;Melodic House & Techno;Dbm;2022-10-30;;ORACOLO Records;;320;17281741;;2;file://localhost/C:/E+/01-MinusTechMelody/08-Oracolo/SOEL-Path%20Tracker.mp3;12A
255;256;The Sense (Extended Mix);Space Food-;120;Progressive House;Dbm;2022-05-04;The Sense;Siona Records;;320;16019666;0xffa500;3;file://localhost/C:/E+/22T05_Mayo_Progress/Space%20Food-The%20Sense%20(Extended%20Mix).mp3;12A
512;513;Asante (Original Mix);Andrea Cassino, Lio Q;120;Progressive House;Dm;2021-10-17;Asante;Proton Music;Reload;320;21639850;0xffa500;6;file://localhost/C:/E+/21T10_Oct_JOOF_Others/Andrea%20Cassino,%20Lio%20Q%20-%20Asante%20(Original%20Mix).mp3;7A
1225;1226;5 Seconds Before Sunrise (Extended Mix);VER-WEST;122;Melodic House & Techno;Ebm;2020-08-22;5 Seconds Before Sunrise (Extended Mix);AFTR:HRS;;320;17773377;;1;file://localhost/C:/E+/20T19/VER-WEST%20-%205%20Seconds%20Before%20Sunrise%20(Extended%20Mix).mp3;2A
301;302;Forlorn;Julius, Audioglider-;120;Progressive House;Ebm;2022-05-13;Audioglider & Julius;Pro B Tech Music;R12;320;19333733;;2;file://localhost/C:/E+/22T05_Mayo_Progress/Julius,%20Audioglider-Forlorn.mp3;2A
243;244;Karma (Original Mix);Emi Galvan-;121;Progressive House;Ebm;2022-05-13;Alfa Zeta;Sudbeat Music;;320;21433808;0xff0000;2;file://localhost/C:/E+/22T05_Mayo_Oranges/Emi%20Galvan-Karma%20(Original%20Mix).mp3;2A
