;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
625;626;The Last Dance;Shai T;120;Organic House / Downtempo;Am;2021-09-04;The Last Dance;Lost Miracle;;320;19476870;;1;file://localhost/C:/E+/21T09_SepMelody/Shai%20T-The%20Last%20Dance.mp3;8A
652;653;Bioluminescense;Figueras;119;Progressive House;Bbm;2021-09-29;Three of a Kind #09;3rd Avenue;;320;16069730;0xffff00;2;file://localhost/C:/E+/21T09_SepMelody/Figueras-Bioluminescense.mp3;3A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
363;364;With No Mask;Brann (AR)-;120;Progressive House;Cm;2022-03-17;With No Mask;MNL;;320;19311114;0xffa500;5;file://localhost/C:/E+/22T03_Marzo/Brann%20(AR)-With%20No%20Mask.mp3;5A
631;632;Mangata;Philipp Kempnich;120;Progressive House;Gm;2021-09-05;Bella Mar 08;Einmusika Recordings;;320;17086090;0x25fde9;7;file://localhost/C:/E+/21T09_SepMelody/05-Philipp%20Kempnich%20-%20Mangata-electrobuzz.net.mp3;6A
345;346;Marylinn;Jorgio Kioris;120;Progressive House;Gm;2022-03-15;Marylinn;Movement Recordings;;320;19538035;0xffa500;2;file://localhost/C:/E+/22T03_Marzo/Jorgio%20Kioris-Marylinn.mp3;6A
565;566;Endanger;Rafael Osmo;122;Progressive House;Dm;2021-10-08;Phantom;UV;UV;320;18067958;0xffa500;4;file://localhost/C:/E+/21T10_Oct_UV/Rafael%20Osmo-Endanger.mp3;7A
772;773;Kessell (Original Mix);Kamilo Sanclemente, Dabeat;121;Progressive House;F;2021-07-20;Dream Walker;Hope Recordings;Temp;320;18564172;0xffa500;5;file://localhost/C:/E+/21T07_Julio_CO/Kamilo%20Sanclemente,%20Dabeat%20-%20Kessell%20(Original%20Mix)%20%5BHope%20Recordings%5D.mp3;7B
355;356;Upgrade (Agustin Pengov Remix);"Us &amp; Eze Colombo-";122;Progressive House;C;2022-03-17;Upgrade;Droid9;;320;17705159;0xffa500;3;"file://localhost/C:/E+/22T03_Marzo/Us%20%26amp;%20Eze%20Colombo-Upgrade%20(Agustin%20Pengov%20Remix).mp3";8B
2290;2291;Thick Skin (Original Mix);The Wash - ;120;Progressive House;Am;2023-03-10;Manifest;Mango Alley;;320;21077854;;;file://localhost/C:/E+/02-DonwloadsAll/202303_Continuous/The%20Wash%20-%20Thick%20Skin%20(Original%20Mix)_(ZeroSound.ru).mp3;8A
