;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
2290;2291;Thick Skin (Original Mix);The Wash - ;120;Progressive House;Am;2023-03-10;Manifest;Mango Alley;;320;21077854;;;file://localhost/C:/E+/02-DonwloadsAll/202303_Continuous/The%20Wash%20-%20Thick%20Skin%20(Original%20Mix)_(ZeroSound.ru).mp3;8A
2394;2395;Stargate (Original Mix);Vincent Vossen-;93;Melodic House & Techno;Am;2022-11-21;Liberation;Us & Them Records;;320;18716965;;2;file://localhost/C:/E+/02-DonwloadsAll/202211_Others/Vincent%20Vossen-Stargate%20(Original%20Mix).mp3;8A
401;402;Pacha Mama;Matter-;121;Progressive House;Em;2021-12-31;Starchild;Meanwhile Horizons;;320;21339427;0xffa500;3;file://localhost/C:/E+/21T12_Dic_Others/Matter-Pacha%20Mama.mp3;9A
420;421;Crossing Galaxies;Yudi Watanabe, Andre Moret, L Georges-;120;Progressive House;Em;2021-12-31;Mizar | Crossing Galaxies;Clubsonica Records;;320;21227663;;2;file://localhost/C:/E+/21T12_Dic_Others/Yudi%20Watanabe,%20Andre%20Moret,%20L%20Georges-Crossing%20Galaxies.mp3;9A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
383;384;Acceptance;Ruben Karapetyan;120;Progressive House;Bm;2022-02-28;Janus / Acceptance;aboriginal;;320;18622227;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
383;384;Acceptance;Ruben Karapetyan;120;Progressive House;Bm;2022-02-28;Janus / Acceptance;aboriginal;;320;18622227;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
2069;2070;Balthazar;Soel;122;Melodic House & Techno;Bm;2022-10-14;Ghasia EP;Bedrock Records;;320;17325176;0xffa500;2;file://localhost/C:/E+/02-DonwloadsAll/202211_Bedrock/Soel-Balthazar.mp3;10A
754;755;Lonely Space (Alex O'Rion Remix) ;Dabeat, Kamilo Sanclemente;120;Progressive House;Bm;2021-07-20;Lonely Space EP;Plaisirs Sonores Records;TraxCrate.com;320;19394173;;1;file://localhost/C:/E+/21T07_Julio_CO/Dabeat,%20Kamilo%20Sanclemente%20-%20Lonely%20Space%20(Alex%20O'Rion%20Remix).mp3;10A
250;251;Ready to Dream (Rauschhaus Remix);Memos-;122;Progressive House;Bm;2022-05-04;Ready to Dream;Harabe Lab;;320;19538913;0x25fde9;6;file://localhost/C:/E+/22T05_Mayo_Progress/Memos-Ready%20to%20Dream%20(Rauschhaus%20Remix).mp3;10A
