;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
1654;1655;Hidden Eyes (Original Mix);Marino Canal, Miguel Payda;120;Melodic House & Techno;Am;2020-01-18;Balance presents Vivrant;Balance Music;www.minimalmass.net;320;18372201;0x25fde9;2;file://localhost/C:/E+/19T12/Marino%20Canal%20Miguel%20Payda%20-%20Hidden%20Eyes%20Original%20Mix%20Balance%20Music-www.groovytunes.org.mp3;8A
717;718;Small Alarms (Original Mix);Guy J;120;Progressive House;Bbm;2021-08-07;Small Alarms / Modulator / The Fall;Lost & Found;temporal;320;20957208;0xffa500;13;file://localhost/C:/E+/20T08_Agosto/Guy%20J%20-%20Small%20Alarms%20Original%20Mix-www.groovytunes.org.mp3;3A
738;739;Tormenta (Parallel Universe Remix);Willscape;121;Progressive House;Fm;2021-08-18;Tormenta;ICONYC Noir;;320;18274747;0xffa500;1;file://localhost/C:/E+/20T08_Agosto/Willscape-Tormenta%20(Parallel%20Universe%20Remix).mp3;4A
934;935;Too Late (Original Mix);Paravorik;120;Progressive House;Gbm;2021-05-08;Ohm;Einmusika Recordings;11A;320;14853867;;;file://localhost/C:/E+/21T05_Mayo2/Paravorik%20-%20Too%20Late%20(Original%20Mix).mp3;11A
801;802;Contemplation (Extended Mix);Jiminy Hop;120;Progressive House;Gm;2021-07-14;Summered;Juicebox Music;;320;19961826;0xffa500;1;file://localhost/C:/E+/21T07_Julio_PN/Jiminy%20Hop%20-%20Contemplation%20(Extended%20Mix)_pn.mp3;6A
734;735;Made Of Cashmere (Original Mix) ;Oliver Koletzki;121;Melodic House & Techno;Gm;2021-08-18;Made Of Cashmere;Stil Vor Talent;;320;13748378;0xffa500;10;file://localhost/C:/E+/20T08_Agosto/Oliver%20Koletzki%20-%20Made%20Of%20Cashmere%20(Original%20Mix).mp3;6A
2220;2221;All I Need;Danccer-;118;Progressive House;Dm;2022-12-28;All I Need (Remix);Vandit Alternative;;320;18462115;;;file://localhost/C:/E+/02-DonwloadsAll/202212_progressive/Danccer-All%20I%20Need.mp3;7A
772;773;Kessell (Original Mix);Kamilo Sanclemente, Dabeat;121;Progressive House;F;2021-07-20;Dream Walker;Hope Recordings;Temp;320;18564172;0xffa500;5;file://localhost/C:/E+/21T07_Julio_CO/Kamilo%20Sanclemente,%20Dabeat%20-%20Kessell%20(Original%20Mix)%20%5BHope%20Recordings%5D.mp3;7B
1254;1255;Kaleidoscope (Original Mix);Nichols (UK);120;Progressive House;F;2020-07-18;Summer Collection;The Soundgarden;12_05;320;19806882;;3;file://localhost/C:/E+/20T16/Nichols%20UK%20-%20Kaleidoscope%20Original%20Mix.mp3;7B
355;356;Upgrade (Agustin Pengov Remix);"Us &amp; Eze Colombo-";122;Progressive House;C;2022-03-17;Upgrade;Droid9;;320;17705159;0xffa500;3;"file://localhost/C:/E+/22T03_Marzo/Us%20%26amp;%20Eze%20Colombo-Upgrade%20(Agustin%20Pengov%20Remix).mp3";8B
355;356;Upgrade (Agustin Pengov Remix);"Us &amp; Eze Colombo-";122;Progressive House;C;2022-03-17;Upgrade;Droid9;;320;17705159;0xffa500;3;"file://localhost/C:/E+/22T03_Marzo/Us%20%26amp;%20Eze%20Colombo-Upgrade%20(Agustin%20Pengov%20Remix).mp3";8B
336;337;Requiem;Talal-;122;Melodic House & Techno;Am;2022-04-23;Summer 21;Frequenza;;320;18745474;;2;file://localhost/C:/E+/22T04_Abril_Progress/tech/Talal-Requiem.mp3;8A
913;914;Raindrop (Original Mix);Miss Monique;122;Progressive House;Em;2021-06-29;Raindrop;Siona Records;;320;16767145;;15;file://localhost/C:/E+/21T06_Junio/Miss%20Monique%20-%20Raindrop%20(Original%20Mix).mp3;9A
689;690;Dancing In The Rain (Aera Remix) (Aera Remix);Saint Is feat. Sergi Yaro;119;Melodic House & Techno;Fm;2021-07-29;Before We Get Old EP;Sum Over Histories;Electro;320;14812216;;3;file://localhost/C:/E+/20T08_Agosto/Saint%20Is%20feat.%20Sergi%20Yaro%20-%20Dancing%20In%20The%20Rain%20(Aera%20Remix)%20(Aera%20Remix).mp3;4A
2269;2270;Octopus (Dmitry Molosh Remix);Bondarev, Tali Muss;121;Progressive House;Gbm;2022-12-28;Octopus;WARPP;;320;16735378;;;file://localhost/C:/E+/02-DonwloadsAll/202212_Warpp/Bondarev%20Tali%20Muss%20-%20Octopus%20Dmitry%20Molosh%20Remix.mp3;11A
715;716;1980 (D-Formation & GRAZZE Remix);Boy Next Door, Pascale Voltaire;123;Progressive House;Dbm;2021-08-07;Anno;Beyond Now;;320;14643528;;2;file://localhost/C:/E+/20T08_Agosto/Boy%20Next%20Door%20Pascale%20Voltaire%20-%201980%20D-Formation%20%26%20GRAZZE%20Remix-www.groovytunes.org.mp3;12A
141;142;Joroh (Original Mix);Mary Mesk;124;Progressive House;Dbm;2022-07-21;Aira;Area Verde;;320;16818925;0xff007f;1;file://localhost/C:/E+/22T07_Julio/Julio2/Mary%20Mesk%20-%20Joroh%20Original%20Mix.mp3;12A
