;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
2115;2116;Iso;Sebastien Leger Tim Green-;121;Organic House / Downtempo;Am;2022-11-14;A Winter Sampler IV;All Day I Dream ;;320;22286422;;1;file://localhost/C:/E+/02-DonwloadsAll/202211_OrganicAllDayIDream/Sebastien%20Leger%20Tim%20Green-Iso.mp3;8A
696;697;Eldarin (Kamilo Sanclemente & Dabeat Remix);GMJ, Matter;121;Progressive House;Em;2021-08-01;Eldarin;Meanwhile;Meanwhile;320;17850037;;12;file://localhost/C:/E+/20T08_Agosto/GMJ%20Matter%20-%20Eldarin%20Kamilo%20Sanclemente%20%26%20Dabeat%20Remix%20%5Bmeanwhile%5D.mp3;9A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
2226;2227;Octopus;Tali Muss, Bondarev;121;Progressive House;Gbm;2022-12-28;Octopus;WARPP;fresh;320;15455398;;2;file://localhost/C:/E+/02-DonwloadsAll/202212_Warpp/Tali%20Muss%20Bondarev%20-%20Octopus.mp3;11A
693;694;Mood Medicine (Paul Kardos Remix);GMJ;121;Progressive House;Gbm;2021-08-01;Mood Medicine (Remixes);Meanwhile;Meanwhile;320;20729757;;5;file://localhost/C:/E+/20T08_Agosto/GMJ%20-%20Mood%20Medicine%20(Paul%20Kardos%20Remix)%20%5Bmeanwhile%5D.mp3;11A
968;969;Escape ;Ivan Berkowitz & Ras Algethi;120;Progressive House;Gm;2021-05-20;Escape;ICONYC Noir;;320;18009230;0xff007f;1;file://localhost/C:/E+/21T05_Mayo/01-ivan_berkowitz_x_ras_algethi-escape-e7871a1d.mp3;6A
1739;1740;Return to Oz (ARTBAT Remix);Monolink;94;Melodic House & Techno;Dm;2020-01-06;Return to Oz (ARTBAT Remix);Embassy One;velocidd mas abajo;320;19249056;;5;file://localhost/C:/E+/19T7/Monolink%20-%20Return%20to%20Oz%20ARTBAT%20Remix-www.groovytunes.org.mp3;7A
2121;2122;Dissension (Original Mix);Kamilo Sanclemente-;122;Progressive House;Am;2022-10-27;Beyond the Future, Vol. 4;Proton Music;;320;18434346;;5;file://localhost/C:/E+/02-DonwloadsAll/202210_02_Melody%26P/Kamilo%20Sanclemente-Dissension%20(Original%20Mix).mp3;8A
590;591;Himalayas;Redspace, Lluis Ribalta;122;Progressive House;Am;2021-09-10;Fantomas Rooftop;Area Verde;;320;17703969;;2;file://localhost/C:/E+/21T09_Sep_AreaVerde/Redspace,%20Lluis%20Ribalta-Himalayas.mp3;8A
1208;1209;Endless Desire (The Wash Remix);Ultraverse;122;Progressive House;Am;2020-10-10;INU the Remixes, Vol. 1;inU;;320;18322225;;1;file://localhost/C:/E+/20T20/Ultraverse%20-%20Endless%20Desire%20(The%20Wash%20Remix).mp3;8A
