;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
416;417;The Last Dance;Shai T-;120;Organic House / Downtempo;Am;2021-12-31;The Last Dance;Lost Miracle;;320;19476871;0xffa500;5;file://localhost/C:/E+/21T12_Dic_Others/Shai%20T-The%20Last%20Dance.mp3;8A
2102;2103;Utopia (Original Mix);Rokazer;120;Progressive House;Bbm;2022-10-09;Hope / Utopia;Mango Alley;;320;15633049;;;file://localhost/C:/E+/02-DonwloadsAll/202210_Progressive_MangoAlley/Rokazer-Utopia%20(Original%20Mix).mp3;3A
308;309;Nashira Over (Original Mix);Benja Molina-;120;Progressive House;Fm;2022-05-13;Terranova;Deepwibe Digital;R07;320;21529357;0xffa500;1;file://localhost/C:/E+/22T05_Mayo_Progress/Benja%20Molina-Nashira%20Over%20(Original%20Mix).mp3;4A
211;212;Collider (Soulmade (AR) Remix);Darren Bray-;120;Progressive House;Cm;2022-05-19;Sequence;AH Digital;;320;18109515;0xffa500;1;file://localhost/C:/E+/22T05_Mayo_Progress2/Darren%20Bray-Collider%20(Soulmade%20(AR)%20Remix).mp3;5A
41;42;Mystery (Extended Mix);Allbitrik-;120;Progressive House;Gm;2022-09-03;The Best of Raina Music 2022;Raina Music;;320;16038486;0x25fde9;1;file://localhost/C:/E+/22T09_Septiembre/Allbitrik-Mystery%20(Extended%20Mix).mp3;6A
695;696;Rite Of Passage (Matter Remix);GMJ;120;Progressive House;Dm;2021-08-01;Mood Medicine (Remixes);Meanwhile;Meanwhile;320;20962183;;6;file://localhost/C:/E+/20T08_Agosto/GMJ%20-%20Rite%20Of%20Passage%20(Matter%20Remix)%20%5Bmeanwhile%5D.mp3;7A
941;942;Illusions;ThinkDeep;122;Progressive House;Ebm;2021-05-14;Best of 2021;Future Avenue;;320;16908887;;1;file://localhost/C:/E+/21T05_Mayo/ThinkDeep%20-%20Illusions%20Future%20Avenue-www.groovytunes.org.mp3;2A
763;764;Light of Consciousness;Juan Deminicis, Juan Pablo Torrez, Kamilo Sanclemente;122;Progressive House;Bbm;2021-07-20;Light of Consciousness | Dogma;Clubsonica Records;;320;17753336;;1;file://localhost/C:/E+/21T07_Julio_CO/Juan%20Deminicis,%20Juan%20Pablo%20Torrez,%20Kamilo%20Sanclemente-Light%20of%20Consciousness.mp3;3A
921;922;Zodiac;Alexey Union, Cherry (UA);122;Progressive House;Fm;2021-07-09;Zodiac;Ritual;;320;17534291;;1;file://localhost/C:/E+/21T06_Junio/Alexey%20Union,%20Cherry%20(UA)-Zodiac.mp3;4A
1;2;Mortero;Yudi Watanabe;120;Progressive House;Fm;2022-09-07;Mortero;Transensations Records;;320;18463577;;1;file://localhost/C:/E+/22T09_Septiembre2/Yudi%20Watanabe-Mortero.mp3;4A
431;432;Astor (Original Mix);Matias Burna;122;Progressive House;Gbm;2022-01-22;Astor;Pillar;;320;16367304;0xffa500;5;file://localhost/C:/E+/22T01_Enero/Matias%20Burna-Astor%20(Original%20Mix).mp3;11A
155;156;Sky Above (Original Mix);Ezequiel Arias, Sebastian Sellares;123;Progressive House;Dbm;2022-07-02;Sky Above;Replug;;320;19579194;0xffa500;2;file://localhost/C:/E+/22T07_Julio/Ezequiel%20Arias%20Sebastian%20Sellares%20-%20Sky%20Above%20Original%20Mix-www.groovytunes.org.mp3;12A
1952;1953;Unstable Gravity Alert (Extended Mix);Colyn-;123;Melodic House & Techno;Abm;2022-09-17;;Afterlife Records;no;320;16094549;0xff0000;6;file://localhost/C:/E+/01-MinusTechMelody/03-Afterlife/Colyn-Unstable%20Gravity%20Alert%20(Extended%20Mix).mp3;1A
583;584;Always (Original Mix);Da Fresh;123;Progressive House;Abm;2021-09-10;Always;Area Verde;;320;18416110;0xffa500;2;file://localhost/C:/E+/21T09_Sep_AreaVerde/Da%20Fresh-Always%20(Original%20Mix).mp3;1A
2352;2353;Pillow Talk _ Extended Mix;Lexer-;122;Progressive House;Ebm;2022-11-21;Pillow Talk;This Never Happened;Funky;320;14899401;;3;file://localhost/C:/E+/02-DonwloadsAll/202211_ProgressiveVarios/Lexer-Pillow%20Talk%20_%20Extended%20Mix.mp3;2A
550;551;Howth;D-Formation, GRAZZE;122;Progressive House;Bbm;2021-10-08;Howth EP;UV;UV;320;17627439;0xffa500;2;file://localhost/C:/E+/21T10_Oct_UV/D-Formation,%20GRAZZE-Howth.mp3;3A
1125;1126;Signs Of A Swarm (Original Mix) ;Lexer;124;Melodic House & Techno;Bm;2020-11-25;Signs Of A Swarm;Radikon;;320;16999972;;1;file://localhost/C:/E+/20T23/Lexer%20-%20Signs%20Of%20A%20Swarm%20(Original%20Mix).mp3;10A
